Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2024;0;;;;;;;;;;;;;;;;;
01/01/2024;100;26,1;26,4;26,1;84;86;83;23,2;23,6;23,2;1006,9;1006,9;1006,2;2,2;48;3,9;;0
01/01/2024;200;25,7;26,1;25,6;86;87;84;23,3;23,3;23,1;1007,7;1007,8;1006,8;2,1;56;3,9;;0
01/01/2024;300;25,8;25,9;25,6;84;86;84;23;23,4;22,9;1007,4;1007,8;1007,4;1,7;76;4,7;;0
01/01/2024;400;25,6;25,8;25,6;85;85;84;22,9;23;22,8;1006,7;1007,5;1006,7;1,6;81;3,4;;0
01/01/2024;500;25,7;25,7;25,5;85;86;85;23;23,1;22,9;1006,1;1006,7;1006,1;0,3;100;2,5;;0
01/01/2024;600;25,8;25,8;25,7;88;88;85;23,6;23,6;23;1005,5;1006,2;1005,5;0,3;164;1,2;;0
01/01/2024;700;25,7;26;25,5;89;89;87;23,7;23,9;23,4;1005,4;1005,6;1005,4;1,5;148;3;;0
01/01/2024;800;25,3;25,7;25,3;90;90;88;23,6;23,7;23,5;1005,3;1005,5;1005,2;0,1;115;3;;0
01/01/2024;900;25,2;25,4;25,2;91;91;90;23,6;23,7;23,6;1005,5;1005,5;1005,3;0,2;56;1;;0
01/01/2024;1000;25,1;25,2;25;92;92;91;23,6;23,7;23,6;1006,2;1006,2;1005,5;0;123;0,8;0,6;0
01/01/2024;1100;25,9;25,9;25;91;92;90;24,3;24,3;23,6;1007;1007;1006,2;0,4;208;1,6;120,9;0
01/01/2024;1200;26,1;26,5;25,8;87;91;86;23,7;24,3;23,7;1007,7;1007,7;1007;1,2;163;2,5;508,5;0
01/01/2024;1300;27,1;27,3;26,1;83;87;82;24;24,3;23,7;1008,5;1008,5;1007,7;0,6;162;2,5;751,8;0
01/01/2024;1400;28,7;28,9;26,9;76;83;73;24,1;24,2;23,1;1008,6;1008,6;1008,5;1,3;164;2,8;1707,9;0
