Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2024;1000;25,1;25,2;25;92.0;92.0;91.0;23,6;23,7;23,6;1006,2;1006,2;1005,5;0;123.0;0,8;0,6;0
01/01/2024;1100;25,9;25,9;25;91.0;92.0;90.0;24,3;24,3;23,6;1007;1007;1006,2;0,4;208.0;1,6;120,9;0
01/01/2024;1200;26,1;26,5;25,8;87.0;91.0;86.0;23,7;24,3;23,7;1007,7;1007,7;1007;1,2;163.0;2,5;508,5;0
01/01/2024;1300;27,1;27,3;26,1;83.0;87.0;82.0;24;24,3;23,7;1008,5;1008,5;1007,7;0,6;162.0;2,5;751,8;0
01/01/2024;1400;28,7;28,9;26,9;76.0;83.0;73.0;24,1;24,2;23,1;1008,6;1008,6;1008,5;1,3;164.0;2,8;1707,9;0
01/01/2024;1500;28,8;29,5;28,2;78.0;79.0;73.0;24,5;24,9;23,3;1008;1008,6;1008;2,2;178.0;3,9;1973,5;0
01/01/2024;1600;29,6;31,5;28,8;70.0;78.0;66.0;23,6;25;23,5;1007,2;1008;1007,2;1,5;183.0;3,9;2345,2;0
01/01/2024;1700;30,7;30,7;29,3;69.0;73.0;68.0;24,4;24,5;23,5;1006,1;1007,2;1006,1;0,4;217.0;4,4;1277,1;0
01/01/2024;1800;32;32,4;30,7;59.0;69.0;56.0;23;24,9;22,1;1004,5;1006,1;1004,5;2,4;135.0;4,4;3072,4;0
01/01/2024;1900;32,6;32,9;31,7;52.0;64.0;50.0;21,5;24,1;21;1003,4;1004,5;1003,4;2,5;73.0;7,8;2487,4;0
01/01/2024;2000;32;33,6;31,9;56.0;56.0;49.0;22;22;20,7;1002,7;1003,4;1002,7;2,4;58.0;5,8;1560,7;0
01/01/2024;2100;31,3;32,1;31,1;62.0;64.0;55.0;23,2;23,7;21,9;1002,9;1002,9;1002,6;2,5;47.0;6,7;1119;0
01/01/2024;2200;29,9;31,3;29,9;68.0;68.0;62.0;23,2;23,3;22,8;1003,8;1003,8;1002,9;1;45.0;4,1;210,5;0
01/01/2024;2300;28,8;29,9;28,8;73.0;73.0;67.0;23,4;23,4;23,1;1004,4;1004,4;1003,8;0,1;55.0;2;2,9;0
